strategy,p_rsi_n,p_rsi_thresh,p_stop_pct,p_target_pct,p_max_hold,IS_CAGR,IS_Sharpe,IS_MDD,IS_PF,IS_N,IS_WR,OOS_CAGR,OOS_Sharpe,OOS_MDD,OOS_PF,OOS_N,OOS_WR,p_lookback,p_vol_mult,p_ret_thresh
RSIOversold,3.0,5.0,0.03,0.07,5,0.003620035112080533,0.09701507367328888,-0.25878474993598444,1.0085816263419112,555,0.4,0.02073155985184183,0.21284269964932007,-0.3403550982277488,1.0360431757541868,735,0.38231292517006804,,,
RSIOversold,3.0,5.0,0.03,0.07,7,-0.009135077971641703,0.0013641670074805877,-0.28391212551461564,0.9956274616618569,478,0.3786610878661088,0.024224778997723018,0.2271603015339037,-0.3887486894591814,1.059506134847215,653,0.37059724349157736,,,
RSIOversold,3.0,5.0,0.03,0.1,3,-0.043895162154084955,-0.22157609708398035,-0.3832724850908945,0.9081948288106769,692,0.41184971098265893,0.01822424537769418,0.20727496547354032,-0.341714719682535,1.0618713724901614,855,0.3883040935672515,,,
RSIOversold,3.0,5.0,0.03,0.1,5,0.007652731136322366,0.12606149643979925,-0.29109991717302197,1.016958636743098,502,0.3745019920318725,-0.020598375243578326,0.04467468316833373,-0.38492389525214843,1.0043256674557794,662,0.33534743202416917,,,
RSIOversold,3.0,5.0,0.03,0.1,7,0.07618357936732045,0.5921039188141086,-0.21732232388620054,1.198517409461524,417,0.37410071942446044,0.17675444449357114,0.7690786722112921,-0.3046645112536026,1.1864509710678457,573,0.34554973821989526,,,
RSIOversold,3.0,5.0,0.05,0.05,3,-0.06353106728206293,-0.35713326995180183,-0.45283777894776944,0.8800897200213362,651,0.4946236559139785,-0.10100857956197018,-0.25892851748927437,-0.28491455817537037,0.9283433070867542,880,0.48977272727272725,,,
RSIOversold,3.0,5.0,0.05,0.05,5,-0.061103243862315804,-0.3843023750928183,-0.3725363428484052,0.8845126922012959,487,0.49075975359342916,-0.09944299825209801,-0.2689930571503936,-0.3502354461819841,0.929716870198688,693,0.5021645021645021,,,
RSIOversold,3.0,5.0,0.05,0.05,7,-0.019759749882676703,-0.06723096045976476,-0.2945264153923648,0.9579717356864761,421,0.5083135391923991,-0.04608955505704293,-0.05259258342730135,-0.3013891468893869,0.9701280745199552,626,0.5223642172523961,,,
RSIOversold,3.0,5.0,0.05,0.07,3,-0.06717822078489055,-0.37545858953634287,-0.4690453125193609,0.8831150134561909,613,0.466557911908646,-0.054562464450516046,-0.05264337807329743,-0.32131616653923334,0.9717123125293949,790,0.4582278481012658,,,
RSIOversold,3.0,5.0,0.05,0.07,5,-0.03321325245549922,-0.16545011456461572,-0.3166908078249041,0.9374522498763767,440,0.45227272727272727,0.02050293075908094,0.2157909082400454,-0.335792435938969,1.01865304351386,597,0.4639865996649916,,,
RSIOversold,3.0,5.0,0.05,0.07,7,0.051391781929089,0.4262769539538029,-0.23438762642155297,1.138876102724612,372,0.489247311827957,0.06805141195868925,0.38535631767297157,-0.3160491729814897,1.0725757890499086,512,0.46484375,,,
RSIOversold,3.0,5.0,0.05,0.1,3,-0.04320892957815525,-0.22052088037590128,-0.41859250653965385,0.933967340103107,591,0.4703891708967851,-0.1181550128212141,-0.30248162721612665,-0.39967688088639197,0.9358697523963083,740,0.43108108108108106,,,
RSIOversold,3.0,5.0,0.05,0.1,5,-0.027031547172280512,-0.11206817699992319,-0.3193934472829357,0.9698482785628052,413,0.423728813559322,-0.07808997414281948,-0.15207784589796233,-0.4702242953582866,0.9352068386329968,540,0.4148148148148148,,,
RSIOversold,3.0,5.0,0.05,0.1,7,0.07939466321310373,0.5937412229025496,-0.16372136862905973,1.2248145275378237,326,0.4754601226993865,-0.008388902443868695,0.11810050990785981,-0.3988976298777015,1.02766327681749,458,0.42139737991266374,,,
RSIOversold,3.0,5.0,0.07,0.05,3,-0.04219607081245713,-0.20331942029429687,-0.40354059029594525,0.9165175533345922,612,0.5081699346405228,-0.15153335916362431,-0.4529639994253529,-0.3430591942442228,0.9116611225814206,811,0.5141800246609125,,,
RSIOversold,3.0,5.0,0.07,0.05,5,-0.06004411522856412,-0.3587885006554114,-0.3735140115820208,0.8735852391289604,442,0.5,-0.08462515145013505,-0.17444343678712998,-0.297790058485391,0.9365542648906158,607,0.5420098846787479,,,
RSIOversold,3.0,5.0,0.07,0.05,7,-0.01807240906324381,-0.06273523426146414,-0.26444544003601367,0.9892020369496644,362,0.5497237569060773,-0.0196176744903932,0.06496584240243347,-0.3641819168697916,0.9825880350865966,523,0.5793499043977055,,,
RSIOversold,3.0,5.0,0.07,0.07,3,-0.012299849970752286,7.895798179824733e-05,-0.30805533207651603,0.9913334637585058,588,0.5,-0.1295375004855983,-0.3250273034230869,-0.35483977004796063,0.9129274826336897,733,0.4815825375170532,,,
RSIOversold,3.0,5.0,0.07,0.07,5,-0.045746782384728846,-0.2611102211446795,-0.33050063693669895,0.924186082758856,396,0.47474747474747475,-0.06923421107048,-0.10842050093229694,-0.39590875307758955,0.9611173855877709,532,0.4868421052631579,,,
RSIOversold,3.0,5.0,0.07,0.07,7,0.046596060667379646,0.38542149096484385,-0.21633049714390262,1.1563284326480858,328,0.5182926829268293,0.054540912947742326,0.33513536252556175,-0.30562210901659337,1.0874682315900472,443,0.5169300225733634,,,
RSIOversold,3.0,5.0,0.07,0.1,3,0.020281944330711177,0.20990283991772235,-0.27354304955472575,1.0362194715617377,565,0.5079646017699115,-0.12022492841724874,-0.2912274207012725,-0.39322708093701153,0.939639385908151,699,0.4663805436337625,,,
